sqft_living,bedrooms,bathrooms,floors,waterfront,condition,yr_built,yr_renovated,price
1180,3,1,1,0,3,1955,0,221900
2570,3,2.25,2,0,3,1951,1991,538000
770,2,1,1,0,3,1933,0,180000
1960,4,3,1,0,5,1965,0,604000
1680,3,2,1,0,3,1987,0,510000
5420,4,4.5,1,0,3,2001,0,1225000
1715,3,2.25,2,0,3,1995,0,257500
1060,3,1.5,1,0,3,1963,0,291850
1780,3,1,1,0,3,1960,0,229500
1890,3,2.5,2,0,3,2003,0,323000
3560,3,2.5,1,0,3,1965,0,662500
1160,2,1,1,0,4,1942,0,468000
1430,3,1,1.5,0,4,1927,0,310000
1370,3,1.75,1,0,4,1977,0,400000
1810,5,2,1.5,0,3,1900,0,530000
2950,4,3,2,0,3,1979,0,650000
1890,3,2,2,0,3,1994,0,395000
1600,4,1,1.5,0,4,1916,0,485000
1200,2,1,1,0,4,1921,0,189000
1250,3,1,1,0,4,1969,0,230000
1620,4,1.75,1,0,4,1947,0,385000
3050,3,2.75,1,0,3,1968,0,2000000
2270,5,2.5,2,0,3,1995,0,285000
1070,2,1.5,1,0,3,1985,0,252700
2450,3,2.25,2,0,4,1985,0,329000
1710,3,2,1.5,0,5,1941,0,233000
2450,3,1.75,2,0,3,1915,0,937000
1400,3,1,1.5,0,5,1909,0,667000
1520,3,1.75,1,0,3,1948,0,438000
2570,4,2.5,2,0,3,2005,0,719000
2320,3,2.5,2,0,3,2003,0,580500
1190,2,1.5,3,0,3,2005,0,280000
2330,4,1.75,1.5,0,4,1929,0,687500
1090,3,1,1.5,0,4,1929,0,535000
2060,4,2.75,1,0,3,1981,0,322500
2300,3,2.5,1.5,0,3,1930,2002,696000
1660,4,1,1,0,1,1933,0,550000
2360,4,2,2,0,4,1904,0,640000
1220,4,1,1,0,2,1969,0,240000
2620,4,2.5,2,0,3,1996,0,605000
2570,4,2.5,2,0,3,2000,0,625000
4220,4,2.25,1,0,3,1984,0,775000
3595,5,2.75,2,0,3,2014,0,861990
1570,3,1,2,0,3,1922,0,685000
1280,3,1,1,0,4,1959,0,309000
3160,3,2.5,2,0,3,2003,0,488000
990,3,1,1,0,3,1966,0,210490
2290,4,2.5,2,0,4,1981,0,785000
1250,3,1.75,1,0,4,1953,0,450000
2753,3,2.5,1,1,5,1953,0,1350000
1190,3,1,1,0,3,1955,0,228000
3150,5,2.5,1,0,4,1966,0,345000
1410,3,1.75,1,0,4,1950,0,600000
1980,2,1.75,1,0,3,1981,0,585000
2730,5,2.25,1.5,0,3,1927,0,920000
2830,4,2.5,2,0,3,1995,0,885000
2250,4,2.5,2,0,3,2008,0,292500
2420,3,2.5,2,0,3,2003,0,301000
3250,5,3.25,2,0,4,1968,0,951000
1850,4,3,2,0,3,1991,0,430000
2150,3,2.25,1,0,4,1959,0,650000
1260,3,1.75,1,0,3,1954,0,289000
2519,3,1.75,2,0,5,1973,0,505000
1540,3,1.75,3,0,3,2014,0,549000
1660,3,2.25,1,0,3,1979,0,425000
2770,3,2.75,1.5,0,5,1925,0,317625
2720,4,2.5,2,0,3,1989,0,975000
2240,4,2.5,2,0,3,2005,0,287000
1000,3,1,1,0,4,1968,0,204000
3200,5,2.25,1,0,3,1965,0,1325000
4770,5,3.25,1,0,4,1973,0,1040000
1260,3,2,1,0,4,1972,0,325000
2750,4,2,1.5,0,5,1916,0,571000
2380,4,2.5,2,0,3,2005,0,360000
1790,3,1.75,1,0,5,1965,0,349000
3430,4,4,2,0,4,1986,0,832500
1760,4,1.75,1,0,3,1956,0,380000
1040,3,1,1,0,3,1941,0,480000
